Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Total_Test_Results,Case_Fatality_Ratio
Georgia,US,2020-04-14,33.0406,-83.6431,14578,525,,14053.0,13.0,143.77586509999998,61795.0,2769.0,3.6013170530000003,84000013.0,USA,609.4546291,18.99437509,,
Florida,US,2020-04-14,27.7663,-81.6868,21628,571,,21057.0,12.0,101.8622019,203180.0,3060.0,2.640096172,84000012.0,USA,956.9244585000001,14.14832624,,
District of Columbia,US,2020-04-14,38.8974,-77.0268,2058,67,518.0,1991.0,11.0,291.60508910000004,11518.0,295.0,3.2555879489999997,84000011.0,USA,1632.024983,14.33430515,,
Diamond Princess,US,2020-04-14,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888.0,USA,,,,
Delaware,US,2020-04-14,39.3185,-75.5071,1926,43,277.0,1883.0,10.0,197.7891974,12304.0,204.0,2.232606438,84000010.0,USA,1263.550511,10.59190031,,
Connecticut,US,2020-04-14,41.5978,-72.7554,13989,671,,13318.0,9.0,392.3667295,45841.0,1779.0,4.79662592,84000009.0,USA,1285.759043,12.71713489,,
Colorado,US,2020-04-14,39.0598,-105.3111,7950,327,,7623.0,8.0,140.290495,38742.0,1493.0,4.11320755,84000008.0,USA,683.6646982999999,18.7798742,,
California,US,2020-04-14,36.1162,-119.6816,25356,767,,24589.0,6.0,64.66945279,202208.0,5163.0,3.0288689069999997,84000006.0,USA,515.7233282,20.36204449,,
Arkansas,US,2020-04-14,34.9697,-92.3731,1498,32,427.0,1466.0,5.0,57.85957427,21131.0,130.0,2.136181575,84000005.0,USA,816.1753431,8.67823765,,
Arizona,US,2020-04-14,33.7298,-111.4312,3809,131,249.0,3678.0,4.0,52.33065113,44096.0,580.0,3.439222893,84000004.0,USA,605.8210534,15.22709373,,
American Samoa,US,2020-04-14,-14.270999999999999,-170.132,0,0,,,60.0,0.0,3.0,,,16.0,ASM,5.391707554,,,
Alaska,US,2020-04-14,61.3707,-152.4044,285,9,98.0,276.0,2.0,47.67887525,8348.0,32.0,3.157894737,84000002.0,USA,1396.572809,11.22807018,,
Minnesota,US,2020-04-14,45.6945,-93.9002,1695,79,909.0,1616.0,27.0,34.26702728,39241.0,405.0,4.660766962,84000027.0,USA,793.3170604,23.89380531,,
Mississippi,US,2020-04-14,32.7416,-89.6787,3087,111,,2976.0,28.0,106.62453729999999,37878.0,596.0,3.5957240039999996,84000028.0,USA,1308.300687,19.30677033,,
Hawaii,US,2020-04-14,21.0943,-157.4983,511,9,315.0,502.0,15.0,36.09302536,19420.0,44.0,1.7612524459999999,84000015.0,USA,1371.676228,8.610567515,,
Montana,US,2020-04-14,46.9219,-110.4544,399,7,197.0,392.0,30.0,46.07459465,9234.0,50.0,1.754385965,84000030.0,USA,1066.297762,12.53132832,,
Missouri,US,2020-04-14,38.4561,-92.2884,4746,149,,4597.0,29.0,80.99728029,47978.0,1041.0,3.1394858830000003,84000029.0,USA,818.8132141,21.93426043,,
Wisconsin,US,2020-04-14,44.2685,-89.6165,3555,170,,3385.0,55.0,68.70134742,41552.0,1049.0,4.781997187,84000055.0,USA,803.0037659,29.50773558,,
West Virginia,US,2020-04-14,38.4912,-80.9545,640,9,147.0,631.0,54.0,48.37497865,17038.0,164.0,1.40625,84000054.0,USA,1287.832635,25.625,,
Washington,US,2020-04-14,47.4009,-121.4905,10799,530,,10269.0,53.0,143.04442350000002,93929.0,387.0,4.907861839,84000053.0,USA,1244.1910970000001,3.5836651539999997,,
Virginia,US,2020-04-14,37.7693,-78.17,6182,154,721.0,6028.0,51.0,78.18161354,42763.0,1282.0,2.491103203,84000051.0,USA,540.8088547,20.73762536,,
Virgin Islands,US,2020-04-14,18.3358,-64.8963,51,1,44.0,50.0,78.0,47.54446806,377.0,,1.960784314,850.0,VIR,351.4561659,,,
Vermont,US,2020-04-14,44.0459,-72.7107,752,29,15.0,723.0,50.0,123.15936529999999,10585.0,64.0,3.8563829789999997,84000050.0,USA,1733.566332,8.510638298,,
Utah,US,2020-04-14,40.15,-111.8624,2417,18,218.0,2399.0,49.0,84.33703829999999,46476.0,213.0,0.744724866,84000049.0,USA,1621.699707,8.812577576,,
Texas,US,2020-04-14,31.0545,-97.5635,15027,342,2580.0,14664.0,48.0,65.28730307,146467.0,1409.0,2.279088365,84000048.0,USA,637.2407982999999,9.389577502,,
Tennessee,US,2020-04-14,35.7478,-86.6923,5827,124,1969.0,5703.0,47.0,88.75952809,78831.0,633.0,2.1280247130000003,84000047.0,USA,1200.789833,10.86322293,,
South Dakota,US,2020-04-14,44.2998,-99.4388,988,6,261.0,982.0,46.0,134.25883149999999,9296.0,45.0,0.607287449,84000046.0,USA,1263.2288429999999,4.55465587,,
South Carolina,US,2020-04-14,33.8569,-80.945,3553,97,,3456.0,45.0,70.49638143,33872.0,675.0,2.73008725,84000045.0,USA,672.0668257,18.99802983,,
Rhode Island,US,2020-04-14,41.6809,-71.5118,3251,80,135.0,3171.0,44.0,306.88311160000006,22900.0,331.0,2.460781298,84000044.0,USA,2161.6804850000003,10.18148262,,
Puerto Rico,US,2020-04-14,18.2208,-66.5901,923,45,,878.0,72.0,31.46510816,7207.0,,4.875406283999999,630.0,PRI,245.68692799999997,,,
Wyoming,US,2020-04-14,42.756,-107.3025,282,1,140.0,281.0,56.0,56.71305607,5964.0,43.0,0.354609929,84000056.0,USA,1199.420803,15.24822695,,
Nebraska,US,2020-04-14,41.1254,-98.2681,897,20,,877.0,31.0,58.80918289,11357.0,,2.229654404,84000031.0,USA,744.5885062000001,,,
Pennsylvania,US,2020-04-14,40.5908,-77.2098,25465,691,,24774.0,42.0,202.3039211,133631.0,2317.0,2.713528372,84000042.0,USA,1061.616936,9.098763007999999,,
Nevada,US,2020-04-14,38.3135,-117.0554,3134,126,,3008.0,32.0,103.8884581,26661.0,,4.020421187,84000032.0,USA,883.7811686000001,,,
New Hampshire,US,2020-04-14,43.4525,-71.5639,922,25,249.0,897.0,33.0,69.41997428,11610.0,152.0,2.7114967460000003,84000033.0,USA,874.1495677000001,16.48590022,,
New Jersey,US,2020-04-14,40.2989,-74.521,68824,2805,,66019.0,34.0,774.8539493,139774.0,8185.0,4.075613158,84000034.0,USA,1573.643437,11.89265373,,
New York,US,2020-04-14,42.1657,-74.9481,203020,10842,23887.0,192178.0,36.0,1204.0786369999998,499143.0,46201.0,5.340360556,84000036.0,USA,2960.336041,22.75687124,,
New Mexico,US,2020-04-14,34.8405,-106.2485,1345,31,304.0,1314.0,35.0,80.65807393,31970.0,181.0,2.3048327140000002,84000035.0,USA,1917.203438,13.45724907,,
North Dakota,US,2020-04-14,47.5289,-99.78399999999999,341,8,138.0,333.0,38.0,56.23184008,10916.0,42.0,2.346041056,84000038.0,USA,1800.078494,12.31671554,,
Northern Mariana Islands,US,2020-04-14,15.0979,145.6739,11,2,,9.0,69.0,19.947773100000003,40.0,,18.18181818,580.0,MNP,72.53735674,,,
Ohio,US,2020-04-14,40.3888,-82.7649,7285,324,,6961.0,39.0,65.19680755,67874.0,2156.0,4.447494852,84000039.0,USA,607.4355684,29.59505834,,
Oklahoma,US,2020-04-14,35.5653,-96.9289,2184,108,1060.0,2076.0,40.0,59.71073104,28269.0,488.0,4.945054945,84000040.0,USA,772.8766737999999,22.34432234,,
Oregon,US,2020-04-14,44.571999999999996,-122.0709,1633,55,,1578.0,41.0,40.75292845,32363.0,381.0,3.368034293,84000041.0,USA,807.6466769,23.3312921,,
North Carolina,US,2020-04-14,35.6301,-79.8064,5113,112,,5001.0,37.0,51.55338215,65039.0,418.0,2.190494817,84000037.0,USA,655.7755568,8.175239585,,
North Dakota,US,2020-04-15,47.5289,-99.784,365,9,142.0,356.0,38.0,60.189506248165465,11317.0,44.0,2.4657534246575343,84000038.0,USA,1866.2044992068177,12.054794520547945,,
Oklahoma,US,2020-04-15,35.5653,-96.9289,2263,123,1115.0,2140.0,40.0,61.87059722213869,29219.0,510.0,5.435262925320371,84000040.0,USA,798.8497482252188,22.536456031816172,,
Ohio,US,2020-04-15,40.3888,-82.7649,7794,362,,7432.0,39.0,69.75208209159592,71552.0,2237.0,4.6445984090325885,84000039.0,USA,640.3516779340354,28.701565306646142,,
Northern Mariana Islands,US,2020-04-15,15.0979,145.6739,13,2,,11.0,69.0,23.574640940084144,40.0,,15.384615384615385,580.0,MNP,72.53735673872046,,,
North Carolina,US,2020-04-15,35.6301,-79.8064,5340,130,,5210.0,37.0,53.842178894168356,67827.0,431.0,2.4344569288389515,84000037.0,USA,683.8864172012654,8.071161048689138,,
Nebraska,US,2020-04-15,41.1254,-98.2681,901,20,,881.0,31.0,59.071431193911636,11729.0,,2.2197558268590454,84000031.0,USA,768.9775987496,,,
New Mexico,US,2020-04-15,34.8405,-106.2485,1484,36,340.0,1448.0,35.0,88.99374105340044,32850.0,181.0,2.4258760107816717,84000035.0,USA,1969.976006471836,12.196765498652294,,
New Jersey,US,2020-04-15,40.2989,-74.521,71030,3156,,67874.0,34.0,799.6901665017299,144021.0,8270.0,4.443193017035056,84000034.0,USA,1621.458221452142,11.642967760101365,,
New Hampshire,US,2020-04-15,43.4525,-71.5639,1139,32,365.0,1107.0,33.0,85.7585148643073,12166.0,178.0,2.809482001755926,84000033.0,USA,916.0123721151558,15.62774363476734,,
Nevada,US,2020-04-15,38.3135,-117.0554,3211,131,,3080.0,32.0,106.4409186603759,27655.0,,4.07972594207412,84000032.0,USA,916.7311135324496,,,
Oregon,US,2020-04-15,44.572,-122.0709,1663,58,,1605.0,41.0,41.50160441259632,33351.0,401.0,3.4876728803367407,84000041.0,USA,832.3030720171378,24.113048707155738,,
New York,US,2020-04-15,42.1657,-74.9481,214454,11617,23887.0,202837.0,36.0,1271.8918333849808,526012.0,46201.0,5.417012506178482,84000036.0,USA,3119.6917150647723,21.5435478004607,,
Pennsylvania,US,2020-04-15,40.5908,-77.2098,26753,779,,25974.0,42.0,212.53629693019985,137584.0,2395.0,2.9118229731245093,84000042.0,USA,1093.0211145234036,8.952267035472659,,
